acte;nb_sejsea;nb_actes;dms_globale;nb_sej_0_nuit;nb_acte_ambu
EJQH0010;36;36;0,1;32;32
EJQH0020;69;69;0,6;49;49
EJQH0030;66;66;1,3;48;48
EJQH0040;28;29;4;21;21
EJQH0050;18;19;2,9;12;13
EJQH0060;39;41;4,1;25;26
EJQM0010;27281;27485;1,9;23170;23219
EJQM0030;118804;122696;12,8;10193;10249
EJQM0040;36681;37588;10,8;7130;7155
EJSA0010;19359;20358;0,1;18276;19158
EJSA0030;350;352;2;252;254
EJSF0070;509;518;0,2;493;502
EJSF0080;4334;4596;0,1;4215;4437
EJSF0190;133;134;0,2;129;130
EJSF0210;333;337;0,4;311;314
EJSF0320;24157;26205;0,1;22947;24873
EJSF4180;46671;51835;0;44987;49899
EJSF4660;25555;26901;0;25417;26754
EJSF4750;6491;6846;0;6432;6782
EJSF7710;9672;10325;0;9306;9929
EKLA0010;15;15;11,1;.;.
EKQH0010;2011;2080;12,8;240;245
EKQH0020;9050;9121;0,8;8049;8088
EKQJ0010;34;34;10,9;.;.
EKSA0010;38;38;1,1;18;18
EKSA0020;34;35;1,8;16;16
ELCA0020;43;43;14,4;.;.
ELFA0010;436;440;20,4;.;.
ELGA0010;11;11;31,2;.;.
ELQH0010;1710;1841;17,1;109;109
ELQH0020;30712;32747;13,1;4043;4225
ELQJ0010;762;770;14,7;112;113
ELQJ0020;24;24;2,4;.;.
ELQJ0030;107;108;15,5;.;.
ELQM0010;6472;6962;6,1;3384;3388
ELQM0020;2178;2238;7,4;647;649
ELSA0020;380;382;7,1;.;.
ELSC0010;103;104;1;83;84
ELSF0010;24;25;9,8;.;.
EMLA0010;51;55;16,3;.;.
EMMA0010;27;27;14,1;.;.
EMNH0010;557;563;1,6;458;461
EMPA0010;279;309;3,8;31;35
EMQH0010;31606;32956;14,7;2614;2630
EMQJ0010;264;266;15,9;38;39
EMSA0010;55;55;8,7;.;.
EMSA0020;64;67;5,6;.;.
ENAF0010;199;204;7,4;14;15
ENAF0020;494;504;4,6;57;60
ENCA0010;53;56;15,8;.;.
ENFA0010;629;647;11,7;.;.
ENFA0020;317;324;5,8;33;35
ENFA0030;47;47;14;.;.
ENFA0040;465;483;13,8;.;.
ENFA0050;198;204;14,2;.;.
ENFA0060;1019;1078;11,8;.;.
ENFA0070;15;15;13,3;.;.
ENFF0010;111;113;10,1;.;.
ENLF0010;89648;117032;18,4;1696;1755
ENNF0010;38;41;9,5;.;.
ENNH0010;138;139;0,6;117;117
ENNH0020;19;19;5,5;.;.
ENQX0110;1247;1280;9,8;221;223
ENSF0010;147;149;13,3;12;12
ENSF0020;90;91;9,1;.;.
ENSF0030;96;100;7,3;.;.
EPCA0010;1862;1871;2,1;640;641
EPCA0020;54;55;4,2;11;11
EPCA0030;56;57;15,2;23;23
EPFA0010;180;184;2,2;98;100
EPFA0030;254;258;6,3;26;26
EPFA0040;173;178;0,6;120;121
EPFA0050;212;225;0,5;167;173
EPFA0060;1212;1226;13,6;.;.
EPJB0150;34;34;11,4;17;17
EPLA0020;3706;3908;11;1379;1384
EPLB0020;123;142;21,4;.;.
EPLF0010;5056;20099;18,5;295;299
EPLF0020;218998;268412;18,4;30351;30759
EPLF0030;3289;3506;16,6;872;874
EPLF0040;7452;7773;10,2;3103;3106
EPLF0050;13681;16652;18,1;3337;3339
EPNF0010;323;324;0;321;321
EPPF0010;205;206;2,1;128;128
EPPF0030;82;82;1,1;59;59
EPPP0020;4098;4209;4;3534;3536
EPPP0030;9493;9705;0,4;9306;9306
EQBP0010;3807;6831;3,1;2994;3327
EQCF0010;94;140;31,8;.;.
EQCF0020;1739;2054;23,1;.;.
EQGA0010;1412;1609;34,3;35;36
EQGA0020;141;148;42,2;.;.
EQGA0030;27;29;46,3;.;.
EQGA0040;29;30;56,9;.;.
EQGA2140;46;46;31,2;.;.
EQLA0010;200;247;32,7;.;.
EQLA0020;2547;3328;23,3;222;231
EQLA0030;20;20;23,7;.;.
EQLA0040;12;12;89,8;.;.
EQLA0080;145;155;50,5;.;.
EQLA0100;29;32;78;.;.
EQLA0110;11;11;49,3;.;.
EQLA6650;56;62;27,3;.;.
EQLF0010;12016;36127;20,4;286;290
EQLF0020;76081;125599;15,6;6401;6545
EQLF0030;141480;496679;18,2;4256;4536
EQLF0040;3909;5998;15,2;808;817
EQLF0050;2375;10543;35;67;69
EQMF0030;2647;4120;5,8;230;293
EQMP0010;764;5550;23,5;22;22
EQQF0010;1716;1733;5,4;482;486
EQQF0020;5969;6491;3,9;2816;2886
EQQF0030;2154;2177;5,2;799;803
EQQF0040;158;161;4,5;.;.
EQQF0060;13214;14012;5,4;3672;3721
EQQF0070;27;27;0,9;20;20
EQQH0010;1209;1376;5,2;203;203
EQQH0020;703;738;5,1;52;54
EQQH0040;571;578;4,8;19;19
EQQH0050;512;530;14,3;.;.
EQQH0060;1279;1285;4,8;105;105
EQQJ0010;506;1041;19,6;11;11
EQQM0010;4919;21072;21,8;115;123
EQQM0030;8801;10683;12,1;2223;2244
EQQM0040;425;432;2,4;227;230
EQQM0050;69;71;5,3;.;.
EQQM0060;67899;71998;7,2;24814;26129
EQQP0010;349;743;13,5;110;110
EQQP0020;8048;8424;3;4491;4558
EQQP0030;56387;57723;1,2;43487;43933
EQQP0040;2474;17824;25,1;145;152
EQQP0050;2676;2715;3;1883;1901
EQQP0070;3357;6802;14,9;661;702
EQQP0080;18892;25167;6,1;7538;7572
EQQP0090;198;198;0,1;195;195
EQQP0100;2257;2316;1,4;1642;1645
EQQP0110;116381;809032;17,8;1996;2115
EQQP0120;1957;6095;25;17;18
EQQP0130;474;4621;34;22;22
EQQP0140;1931;9082;23,4;27;27
EQRP0010;227;238;0,2;214;224
EQRP0020;14925;15031;0,3;13735;13822
EQRP0080;3944;3988;1,3;3175;3191
EZAF0010;11951;12098;1,3;8502;8558
EZAF0020;630;632;1,9;392;393
EZBA0010;285;286;1,7;125;125
EZBA0020;594;610;2,3;222;225
EZBA0030;329;330;0,8;197;197
EZCA0010;85;86;24,2;.;.
EZCA0020;45;45;3,8;.;.
EZCA0030;1379;1384;2,7;438;438
EZCA0040;689;693;2,6;267;268
EZCA0050;21;22;34;.;.
EZFA0010;1219;1229;0,4;1016;1022
EZFA0020;892;903;3,6;528;530
EZFA0030;2083;2090;1,7;749;749
EZFA0040;325;325;0,7;252;252
EZGF0010;39;40;6,6;12;12
EZJF0010;93;93;4,9;38;38
EZJF0020;560;564;2,3;399;401
EZKA0010;103;154;33,3;.;.
EZMA0010;10946;11023;1,5;6668;6699
EZMA0020;87;87;1,2;50;50
EZMA0030;2324;2338;1,6;1244;1246
EZMA0040;43;44;4,2;18;18
EZMH0010;11357;12800;11,6;5006;5026
EZNF0040;320;330;2,2;280;282
EZNF9000;29;29;2,7;.;.
EZNH0010;13;13;0,2;11;11
EZNH0020;48;48;0,1;45;45
EZPA0010;3429;3521;3;1057;1061
EZPF0030;54;54;10,4;.;.
EZPF0040;249;252;3,6;62;62
EZQA0010;16677;16952;0,2;15922;16171
EZQH0020;549;554;3;304;306
EZQH0030;1080;1080;1,7;732;732
EZQH0040;5928;6503;9,5;33;33
EZQJ9000;9531;11085;12;2115;2140
EZQM0010;24207;24548;2,3;20937;20942
EZQM0020;2396;2454;11,4;849;852
EZSA0010;1042;1047;3,3;490;491
EZSA0020;593;603;5,7;157;157
EZSA0030;1238;1263;3,3;380;384
EZSA0040;3049;3206;12,4;213;214
EZSA0050;15;15;11,3;.;.
EZSF0010;25;25;13,6;.;.
EZSM0010;91;110;16,1;.;.
FAFA0010;1281;1282;0;1235;1236
FAFA0020;43960;44004;0;43201;43243
FAFA0050;644;644;0,6;337;337
FAFA0060;5336;5343;0,4;3467;3470
FAFA0070;196;255;1,2;103;107
FAFA0080;17255;17271;0,1;16391;16404
FAFA0100;10917;10931;0,4;6868;6877
FAFA0130;5211;5212;0;5080;5081
FAFA0140;17341;17427;0,9;7010;7050
FAFA0150;41095;41168;0,5;25136;25172
FAND0010;426;430;0,3;355;359
FAQX0040;1466;1610;2,4;492;545
FASD0010;2409;2469;2;370;372
FBFA0010;74;74;2,2;13;13
FBFA0030;1512;1533;12,7;.;.
FBFA9000;38;39;4;.;.
FBFC9000;87;88;3,9;.;.
FBQX0040;1254;1275;6,6;14;14
FCBP0010;181;429;1,7;99;99
FCBP0020;4121;11158;8,6;1034;1044
FCCA0010;68;73;2,4;.;.
FCFA0010;97;99;4;34;35
FCFA0020;1145;1154;2,9;140;140
FCFA0030;38;41;5,2;.;.
FCFA0040;1417;1425;8,6;.;.
FCFA0050;564;566;3,7;33;33
FCFA0060;3155;3290;10,2;.;.
FCFA0070;61;61;3,1;15;15
FCFA0080;3685;3729;8,5;63;64
FCFA0090;633;636;11,1;.;.
FCFA0100;2039;2069;12,1;.;.
FCFA0110;1771;1839;4,2;613;617
FCFA0120;4319;4375;3,8;1913;1928
FCFA0130;1831;1853;19,6;.;.
FCFA0160;4528;4552;3,7;810;810
FCFA0170;5976;6024;7,2;.;.
FCFA0180;2634;2680;2,3;1325;1344
FCFA0190;2179;2191;12,2;30;30
FCFA0200;649;652;10;23;23
FCFA0210;31002;31744;1,5;16522;16769
FCFA0220;1161;1164;11,1;13;13
FCFA0240;69;70;1;50;51
FCFA0250;160;161;9,3;.;.
FCFA0270;592;602;7,8;.;.
FCFA0280;699;703;3,7;292;294
FCFA0290;5059;5095;2;2037;2048
FCFC0010;8022;8105;4,7;229;231
FCFC0020;1500;1505;4,1;242;242
FCFC0030;7754;7999;4;205;242
FCFC0040;1187;1189;5,3;27;27
FCFC0050;2470;2484;5,6;59;60
FCHB0010;557;572;7,8;246;250
FCNB0010;35;35;0,6;24;24
FCNH0010;129;153;5,7;77;77
FCPA0010;574;599;8,8;79;79
FCQH0010;47;50;16,3;17;17
FCQH0020;169;189;24,2;38;40
FCQL0010;452;461;3,2;120;121
FCQX0040;17952;20554;6;4673;4795
FCQX0050;29218;30276;1,3;14343;14858
FCQX0060;27066;27390;5;4633;4667
FCQX0070;12972;13212;1,3;6393;6479
FCQX0080;14037;14272;1,4;6333;6444
FCQX0100;20241;20433;7,7;655;661
FCQX0110;4433;4572;12,2;66;66
FCQX0120;11248;11319;8,5;109;109
FCQX0280;11292;11731;5,9;5574;5727
FCSA0010;72;72;23;.;.
FCSA0020;28;29;15;.;.
FCSC0010;42;43;16,1;.;.
FDFB0010;398;432;2,6;171;172
FDHB0010;9478;9763;8,8;5083;5092
FDHB0020;2754;2797;6,2;1589;1601
FDHB0030;195;200;7,6;86;87
FDHB0040;2326;2387;6,1;1431;1448
FDHB0050;53;58;18,2;13;13
FDHB0060;11180;12103;9,6;5848;6010
FDQL0010;13;13;30,1;.;.
FDQX0070;6431;6593;9,6;2635;2679
FEFF0010;223;233;1,5;168;168
FEFF0020;4290;4944;1,1;3169;3193
FEFF4380;1264;1269;2,9;826;826
FEHB0010;31151;62545;8,8;3036;3298
FEJF0010;18761;20413;0,7;18110;18111
FEJF0020;5076;11361;10,6;3025;3033
FEJF0030;4346;4567;1;3892;3939
FEJF0040;6143;8700;3,5;4966;4967
FEJF0050;2809;2822;0,2;2791;2791
FEJF0060;2970;3089;1;2655;2724
FEJF0070;1315;2353;4,2;1038;1038
FEJF0090;588;771;11,8;308;308
FELF0010;1288;1463;13,2;110;112
FELF0020;1413;2998;39,8;18;19
FELF0030;10437;15550;22,7;475;497
FELF0040;11845;16212;18,8;1885;1911
FELF0050;54;67;23,6;.;.
FELF0060;79590;130011;8,3;44441;44756
FELF0070;2851;5721;52,2;35;35
FELF0080;85;93;8,3;37;38
FELF0090;2713;2777;33,4;510;510
FELF0100;2939;3015;19;150;150
FELF0110;447550;628771;8,4;176642;178059
FELF0120;340;493;10,4;94;94
FEPF0010;473;493;0,8;451;451
FEPF0020;21;24;5,7;13;13
FEPF0030;9347;9409;0,7;8687;8689
FEPF0040;103;106;4,4;81;81
FEPF0050;543;543;0,2;527;527
FEQL0020;36;38;2,5;30;31
FEQL0030;48;49;36,4;.;.
FEQL0070;1092;1564;0,1;1086;1557
FERP0011;8803;9146;0,4;8670;8675
FERP0012;7059;7301;0,3;6963;6964
FERP0013;7661;7949;0,4;7555;7556
FERP8580;7882;8082;0,3;7734;7735
FFFA0010;1416;1441;17,2;35;35
FFFA0020;40;40;13,8;.;.
FFFC0010;357;360;6,9;.;.
FFFC4200;90;90;4,6;.;.
FFJC0010;15;15;4,7;.;.
FFQL0010;42;44;3,8;36;38
FFQX0050;642;647;14,4;12;12
FFSA0010;138;141;18,5;.;.
FFSC2720;166;167;5,5;.;.
FGLB0010;4392;4558;0;4360;4524
FGLB0020;5108;5236;0;5026;5132
FGLB0040;2297;2394;0,3;2157;2168
FGLF6710;1521;1536;20,7;.;.
FGRB0010;13520;13842;0,5;13179;13483
FGRB0020;4110;4209;0,4;3966;4062
FGRB0030;22886;23627;0,4;21947;22663
FGRB0040;6474;6523;0,1;6371;6415
FGRB0050;3556;3778;0,4;3483;3699
FGRB0060;2353;2493;0,3;2308;2442
FGRB0070;8871;9202;0,1;8736;9053
FGRD0020;6648;6766;0;6624;6742
FGRD0030;24501;24723;0;24313;24503
FGRD0040;84;85;0,6;80;80
FGRP0030;1776;1790;0,8;1709;1720
FGRP0050;1358;1366;0,3;1326;1328
FGRP0060;315;321;0,4;312;316
FGRP0070;126;127;1,3;113;114
GABD0010;4947;5054;1,6;3488;3503
GABD0020;3363;3532;2,8;1733;1762
GAEA0010;33;33;2,6;.;.
GAFA0010;43;43;1,6;32;32
GAFA0020;2014;2022;0,3;1697;1705
GAFA0030;110;110;0,8;69;69
GAFA0040;59;59;4,6;14;14
GAFA0050;2692;2701;0,3;2379;2388
GAFA0060;57;57;1,6;25;25
GAFA0070;12045;12144;0,1;11266;11356
GAFA0080;105;105;2,9;27;27
GAFA0090;14;15;0,5;.;.
GAFA0110;104;106;0,5;73;75
GAFD0010;2475;2490;0,6;1870;1879
GAFD0020;1733;1753;0,6;1198;1215
GAGD0010;59;59;4,2;25;25
GAGD0020;545;573;5,1;208;211
GAHA0010;687;696;4,5;419;424
GAJA0010;189;190;2,2;86;86
GAJA0020;898;921;3,4;288;293
GALD0010;69;70;1,7;33;33
GALD0020;1466;1471;0,8;1013;1015
GAMA0010;466;466;0,4;343;343
GAMA0020;757;760;1,1;430;432
GAMA0030;279;283;0,8;147;147
GAMA0040;2125;2129;0,5;1316;1318
GAMA0050;253;253;0,4;170;170
GAMA0060;61;61;1,3;25;25
GAMA0070;27945;28011;0,4;20727;20763
GAMA0080;529;531;0,7;340;340
GAMA0090;6663;6674;0,4;4581;4589
GAMA0100;387;387;0,9;156;156
GAMA0120;5120;5168;0,2;4684;4724
GAMA0130;964;968;0,6;532;535
GAMA0140;12;12;7,8;.;.
GAMA0150;515;517;0,5;352;354
GAMA0160;4950;4963;0,5;2978;2986
GAMA0170;38;42;20,3;.;.
GAMA0180;6732;6858;0,1;6338;6459
GAMA0190;798;803;0,3;643;645
GAMA0200;290;290;0,5;172;172
GAMA0210;254;256;1,6;91;91
GAMA0220;494;494;0,4;361;361
GAMA0240;746;747;0,4;493;494
GAMA0250;54;54;0,9;23;23
GAMA0260;18;18;1,4;.;.
GAME0010;22052;22197;0,3;17078;17196
GAME0020;229;229;0,3;179;179
GAND0010;2772;2777;1,3;2070;2073
GAQD0010;35;35;2,7;26;26
GAQD0020;95;95;0;93;93
GAQD0040;72;74;0;71;73
GAQD0050;36;37;3,7;13;13
GAQD0060;95;95;0;95;95
GAQD0070;1376;1394;1,2;934;943
GAQD3490;1472;1480;0,3;1378;1385
GAQE0010;24222;25126;6,8;12882;12930
GAQE0030;1452;1534;12;421;421
GASA0010;96;96;0,3;77;77
GASE0010;2067;2125;4,4;1100;1112
GASE0020;465;468;3,1;278;278
GBBA0010;32;33;15,7;.;.
GBBA0020;493;517;0,2;430;450
GBBA3640;139;141;0,4;93;94
GBCA0010;27;27;6,6;.;.
GBFA0010;54;54;2,8;18;18
GBFA0020;31;32;2,8;.;.
GBFA0030;40;40;4;.;.
GBFA0040;20;20;5,1;.;.
GBFA0070;700;712;2;340;348
GBFA0080;1416;1433;0,4;978;993
GBGD0010;233;305;3,4;151;212
GBJA0010;180;181;3;58;58
GBJA0020;86;87;7,6;.;.
GBJB0010;45;46;9,2;.;.
GBJD0010;24;33;8,2;.;.
GBJD0020;243;252;3,5;111;115
GBJE0010;439;439;2,1;158;158
GBJE0020;542;551;2,5;268;269
GBPA0010;97;97;0,7;64;64
GBPA0020;216;216;1;146;146
GBPA0030;569;569;1,4;204;204
GBPA0040;1251;1264;0,3;1067;1076
GBPE0010;16496;17140;0,7;11067;11513
GBPE0020;232;232;1;103;103
GBPE0030;3159;3165;0,4;2199;2205
GBQA0020;137;141;1;94;97
GBQD0010;230;231;1,7;179;179
GBQE0010;230;233;4,6;111;111
GBQE0020;26;26;3,6;11;11
GBQM0010;21;21;17;.;.
GCCD0010;15;15;4,7;.;.
GCFA0010;14;14;4,5;.;.
GCFA0060;20;20;14,5;.;.
GCFA0070;36;36;7,2;.;.
GCFD0010;1686;1696;0,6;1450;1460
GCFD0020;77;78;0,4;59;60
GCME0030;28;31;19,6;.;.
GCME0040;75;75;1,4;21;21
GCQE0010;29233;30519;8,7;13119;13190
GCQE0020;1812;1815;0,9;1427;1429
GCQE0030;116;121;11,4;27;27
GCQX0040;2594;2780;2,1;1364;1425
GCQX0050;294;298;3,3;160;162
GDCA0010;54;55;8,2;.;.
GDEA0010;194;195;2,1;52;53
GDFA0040;17;18;3,8;.;.
GDFA0050;629;637;27,8;.;.
GDFA0060;92;94;7,9;16;16
GDFA0080;36;37;23,4;.;.
GDFA0090;14;14;22,1;.;.
GDFA0100;27;27;8,9;.;.
GDFA0110;90;91;25,3;.;.
GDFA0130;21;21;20,3;.;.
GDFA0140;92;94;13,3;.;.
GDFA0150;16;16;4;.;.
GDFA0160;52;52;17,8;.;.
GDFA0170;14;14;26,1;.;.
GDFA0180;63;64;23,4;.;.
GDFE0010;83;84;5,6;23;23
GDFE0020;959;961;0,6;715;717
GDFE0030;1292;1303;1,6;668;670
GDFE0040;2755;2792;0,6;2258;2289
GDFE0050;200;203;10,4;17;17
GDFE0060;86;86;4,8;49;49
GDFE0070;506;518;0,8;386;395
GDFE0080;86;88;3,7;27;27
GDFE0090;109;109;4,2;30;30
GDFE0100;227;227;1,7;114;114
GDFE0110;117;118;6,5;58;58
GDFE0120;334;358;12,5;53;53
GDFE0130;132;134;8,1;.;.
GDFE0140;486;492;0,7;400;405
GDFE0150;140;140;1;93;93
GDFE0160;135;136;5,9;18;18
GDGE0010;138;138;3,7;47;47
GDHE0010;1470;1482;3,1;783;788
GDLB0010;82;83;5;72;72
GDLD0010;467;480;4,5;283;283
GDLE0010;135;137;22,9;45;45
GDLE0030;374;376;1;275;277
GDLE0040;1302;1314;1,7;1046;1052
GDMA0010;420;430;4,9;126;126
GDMA0020;16;16;31,8;.;.
GDNE0010;19;19;3,1;.;.
GDNE0020;531;536;2,1;301;302
GDNE0030;320;321;1,6;202;202
GDNE0040;17;17;7,7;.;.
GDPE0010;280;280;7,7;53;53
GDPE0020;17;17;12,4;.;.
GDPE0030;86;88;10,4;.;.
GDQE0010;986;1073;11,6;269;269
GDQE0020;21;21;4,5;.;.
GDQE0030;146;148;6,7;56;56
GDQE0040;7417;7749;11,4;2140;2150
GDQE0050;4481;4585;5,2;2346;2352
GDQE0070;180;180;2,7;127;127
GDQX0040;1020;1040;1,6;630;634
GDQX0050;637;666;24,9;15;19
GDQX0080;489;509;13,6;70;71
GDSA0010;21;22;19,1;.;.
GECA0010;53;55;24,4;.;.
GECA0020;14;14;19,1;.;.
GECA0030;31;31;28,4;.;.
GEFA0020;26;26;19,1;.;.
GEFA0070;13;13;14,8;.;.
GEFA0110;29;29;11,2;.;.
GEFA0120;20;20;11,7;.;.
GEFE0010;103;109;8,5;12;12
GEFE0020;511;539;8,1;128;128
GEGE0010;486;496;5,5;61;62
GEGE0030;368;386;11,6;70;71
GEHD0010;4296;7908;26,9;88;89
GEHE0010;18716;19468;8,7;7319;7501
GEJD0010;1410;1448;8,1;83;84
GEJD0020;42;54;38,1;.;.
GEJE0010;3045;3710;16,6;728;733
GEJE0030;2141;3902;31,4;49;49
GELA0010;14;15;23;.;.
GELD0010;1775;2273;43;61;71
GELD0020;5501;6720;20;467;485
GELD0030;2619;3534;40,4;141;147
GELD0040;43634;63110;20,9;3065;3154
GELD0050;110198;471759;10,8;11067;14150
GELE0010;52103;56467;4,7;18733;19606
GELE0020;83;124;6,8;11;11
GELE0030;16;18;5,6;.;.
GELE0040;975;1130;22,2;67;67
GELE0050;4020;4165;8;1338;1345
GELE0060;71;72;8,8;.;.
GELE0070;32;32;3;.;.
GELE0080;816;860;10,5;68;68
GELE3080;454;488;5,2;.;.
GELF0010;1279;2281;59;43;43
GEMA0010;188;189;14,5;59;59
GEMA0020;21;22;42,2;.;.
GEME1210;17;17;7,6;.;.
GENE0010;709;722;7,1;89;90
GENE0020;61;61;8,2;16;16
GENE0040;164;165;5,7;16;16
GENE0050;807;819;4,7;332;332
GENE0060;496;506;6,6;62;63
GENE0080;184;189;5,8;60;60
GEPA0040;5226;5846;37,1;55;57
GEQE0010;127;130;13,5;36;36
GEQE0020;1247;1258;6,7;553;554
GEQE0030;736;744;3,2;305;305
GEQE0040;36937;38422;9,3;15599;15680
GEQE0050;256;256;4,2;124;124
GEQE0060;5321;5433;8,8;1761;1773
GEQE0070;42314;45475;10,6;13810;13888
GEQE0080;1560;1627;7,6;273;275
GEQE0090;7387;12937;28,2;840;848
GEQE0100;721;723;8,3;263;263
GEQE0120;8946;11495;21,3;1034;1041
GEQE0130;22129;22374;2,6;13565;13630
GEQH0020;1532;1608;8,1;667;673
GEQH0030;100;124;13,8;24;24
GEQJ2370;17846;18046;2,4;11738;11822
GEQX0010;2098;2185;10,4;902;911
GEQX0020;21395;22576;11,4;8414;8465
GERD0010;37639;38049;2,8;25280;25479
GERD0020;901;907;1,7;736;738
GESA0020;254;255;21;63;63
GESA0030;52;55;34,8;.;.
GFBA0020;11;11;35,3;.;.
GFBA0040;81;81;8,9;.;.
GFCA0010;211;218;20;.;.
GFCC0010;82;85;13,6;.;.
GFEA0010;106;107;54,7;.;.
GFEA0030;27;28;48,2;.;.
GFEA0040;117;117;48,1;.;.
GFEA0060;54;55;75,6;.;.
GFFA0010;28;29;20,9;.;.
GFFA0020;12;12;5,3;.;.
GFFA0030;25;25;8,2;.;.
GFFA0040;247;247;10,8;.;.
GFFA0050;141;141;14,6;.;.
GFFA0070;94;94;12,4;.;.
GFFA0080;28;28;12,8;.;.
GFFA0090;10060;10121;6,7;.;.
GFFA0120;35;35;7,6;.;.
GFFA0130;2979;3001;9,8;.;.
GFFA0160;13;13;9,8;.;.
GFFA0170;1085;1091;10;.;.
GFFA0180;267;268;11,3;.;.
GFFA0190;44;44;21,1;.;.
GFFA0200;303;311;5,1;24;26
GFFA0210;831;841;7,9;.;.
GFFA0220;544;546;9,1;.;.
GFFA0230;20;20;10,8;.;.
GFFA0240;220;228;16,4;.;.
GFFA0270;91;91;11,6;.;.
GFFA0280;14;14;18,1;.;.
GFFA0290;1893;1908;6,6;.;.
GFFA0320;45;45;14,1;.;.
GFFA0330;17;17;16,9;.;.
GFFA0340;44;44;12,1;.;.
GFFA0350;12;12;6,9;.;.
GFFC0020;4344;4400;5,5;55;56
GFFC0030;41;41;3,5;.;.
GFFC0040;86;87;3;.;.
GFFC0050;1907;1939;7,9;.;.
GFFC0060;604;613;8,2;.;.
GFNH1740;713;723;3;46;46
GFNH2140;160;160;3,5;.;.
GFQJ0020;2372;2412;3,5;1220;1238
GFQL0010;25;25;11,8;.;.
GFQL0020;12620;12732;11,1;1689;1692
GFQL0040;109;109;9,4;.;.
GFQL0050;1122;1129;9;230;231
GFQL0060;2548;2576;9,2;819;829
GFQL0070;395;402;7,7;182;182
GFQM0010;37371;63648;16,3;3335;3387
GFQP0010;381;1056;21,9;71;71
GFQX0040;10922;11051;7,7;21;21
GFQX0050;145;146;11,1;.;.
GFQX0060;4900;4987;6,7;33;33
GFQX0070;73;74;13,5;.;.
GFQX0080;852;864;13,2;.;.
GFQX0090;1954;2063;7,5;11;11
GFQX0100;212;214;6,1;.;.
GFQX0200;3056;3148;6,9;1274;1278
GGBA0010;261;289;30,1;.;.
GGCA0010;105;109;41,7;.;.
GGFA0010;252;254;5,4;.;.
GGFA0030;180;180;8,2;.;.
GGHB0010;10039;11569;13,8;1639;1654
GGHB0020;582;615;10,8;104;105
GGJA0010;602;640;23,9;.;.
GGJA0020;1197;1248;19,6;28;28
GGJA0030;898;966;21;.;.
GGJA0040;24;25;27,6;.;.
GGJB0010;29311;60928;16,2;1262;1289
GGJB0020;15888;19477;13,7;2848;2874
GGJB0050;240;366;24,1;.;.
GGJB0060;370;808;22,4;.;.
GGJB0070;77;151;21;.;.
GGJC0010;1283;1323;16;27;27
GGJC0020;665;694;13,4;.;.
GGLA0010;1581;1609;9,1;166;167
GGLB0010;29;43;17,7;.;.
GGLB0020;350;517;15,1;12;12
GGLB0060;2704;3043;15,5;156;157
GGLB0090;325;333;9,3;.;.
GGLC0010;4902;5008;9,6;.;.
GGNA0010;370;375;10,6;.;.
GGNC0010;2771;2810;9;67;67
GGPA0010;1892;1940;15,4;.;.
GGPA0020;11466;11614;8,6;46;46
GGQX0040;2458;2546;9,5;14;14
GHFA0010;1144;1146;2,1;49;49
GHFA0020;1007;1010;3,8;.;.
GHFA0030;384;388;9,5;.;.
GHFA0040;466;468;6,4;.;.
GHJA0010;91;98;27,2;.;.
GHJA0020;616;656;29;.;.
GHQA0010;1042;1044;2,9;345;345
GHQC0010;967;976;3,4;246;246
GJQP0010;213;215;0,1;208;210
GKGD0020;34;34;6,4;17;17
GKGE0020;15;15;15;.;.
GKKD0020;464;480;7,4;327;331
GKKE0020;279;279;1,6;182;182
GKQE0010;611;645;7,3;183;184
GKQP0010;531;533;1,3;495;495
GKQP0020;195;198;1,1;182;183
GKQP0050;779;780;0,2;774;774
GKQP0060;304;305;0,4;298;298
GKQP0100;1366;1371;1,2;1274;1274
GKQP0110;24;24;0;23;23
GKRP0010;95;119;1,6;90;90
GLBP0010;162;215;7,9;27;27
GLBP0020;411;543;2,8;146;160
GLHF0010;344158;754826;8,2;45042;48054
GLHF0020;14201;24081;9,2;1763;1843
GLJF0100;720;7047;31,4;20;20
GLKP0010;743;743;0,3;590;590
GLLB0010;57;62;30;.;.
GLLD0020;7912;30459;16,5;184;211
GLLD0030;91021;442283;19,4;2087;2180
GLLD0040;10223;36428;29;201;211
GLLD0050;3426;14342;32,2;44;45
GLLD0060;10136;25268;25,6;484;485
GLLD0070;761;1443;14;.;.
GLLD0080;86033;382345;20;2875;3020
GLLD0090;2347;10989;41,7;56;57
GLLD0120;38045;142657;20,5;816;840
GLLD0130;3789;42359;46,6;18;18
GLLD0150;89202;408921;21,4;2950;3014
GLLD0160;770;925;17,9;105;113
GLLD0170;344998;1137994;11,7;29605;30556
GLLD0180;11133;13377;14,1;482;496
GLLD0190;66863;227850;18,5;1230;1275
GLLD0210;329;1207;13,7;37;39
GLLP0030;8592;15664;10,1;1289;1301
GLLP0060;65250;77981;0,5;63452;63616
GLLP0070;994;1428;4,5;597;608
GLMF0010;7738;17757;13,2;826;842
GLMP0010;8095;12057;3,4;1739;1744
GLQD0010;37796;38146;2,7;24583;24762
GLQD0020;18;18;4,3;.;.
GLQD0030;3406;3446;3,7;1847;1859
GLQD0040;768;769;1,8;496;497
GLQD0060;770;783;2;379;386
GLQD0070;6872;7058;2,4;4207;4303
GLQF0010;13659;46338;13,2;1011;1029
GLQP0010;12166;82465;15,9;525;531
